Dataset,Model,F1,Accuracy,Precision,Recall,ROC AUC,Parameters
Wisconsin: Original,SVC,0.9807432432432432,0.9824561403508771,0.9866666666666667,0.975609756097561,0.975609756097561,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}"
Wisconsin: Original,Random Forest,0.951575906889814,0.956140350877193,0.9605263157894737,0.9443701971266287,0.9443701971266286,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Wisconsin: Original,XGBoost,0.9322062696457395,0.9385964912280702,0.9407894736842105,0.9253257601069161,0.9253257601069161,"{'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 80, 'objective': 'binary:logistic'}"
Wisconsin: SMOTE,SVC,0.9614864864864865,0.9649122807017544,0.9671794871794872,0.9565653190778483,0.9565653190778483,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}"
Wisconsin: SMOTE,Random Forest,0.9614864864864865,0.9649122807017544,0.9671794871794872,0.9565653190778483,0.9565653190778483,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 25}"
Wisconsin: SMOTE,XGBoost,0.9322062696457395,0.9385964912280702,0.9407894736842105,0.9253257601069161,0.9253257601069161,"{'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 50, 'objective': 'binary:logistic'}"
Wisconsin: Random Oversampling,SVC,0.9415384615384615,0.9473684210526315,0.9540189540189541,0.9321750751754092,0.9321750751754091,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}"
Wisconsin: Random Oversampling,Random Forest,0.951575906889814,0.956140350877193,0.9605263157894737,0.9443701971266287,0.9443701971266286,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 45}"
Wisconsin: Random Oversampling,XGBoost,0.9415384615384615,0.9473684210526315,0.9540189540189541,0.9321750751754092,0.9321750751754091,"{'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'binary:logistic'}"
Coimbra: Original,SVC,0.6243478260869566,0.625,0.625,0.6258741258741258,0.6258741258741258,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
Coimbra: Original,Random Forest,0.6190476190476191,0.625,0.6214285714285714,0.6188811188811189,0.6188811188811189,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 35}"
Coimbra: Original,XGBoost,0.7078260869565217,0.7083333333333334,0.7214285714285715,0.7167832167832169,0.7167832167832168,"{'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 80, 'objective': 'binary:logistic'}"
Coimbra: SMOTE,SVC,0.625,0.6666666666666666,0.7157894736842105,0.6433566433566433,0.6433566433566433,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}"
Coimbra: SMOTE,Random Forest,0.5804195804195804,0.5833333333333334,0.5804195804195804,0.5804195804195804,0.5804195804195804,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 45}"
Coimbra: SMOTE,XGBoost,0.75,0.75,0.7552447552447552,0.7552447552447552,0.7552447552447552,"{'gamma': 0.6, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 80, 'objective': 'binary:logistic'}"
Coimbra: Random Oversampling,SVC,0.6243478260869566,0.625,0.625,0.6258741258741258,0.6258741258741258,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
Coimbra: Random Oversampling,Random Forest,0.7078260869565217,0.7083333333333334,0.7083333333333333,0.7097902097902098,0.7097902097902098,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 5}"
Coimbra: Random Oversampling,XGBoost,0.6190476190476191,0.625,0.6214285714285714,0.6188811188811189,0.6188811188811189,"{'gamma': 0.9, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 30, 'objective': 'binary:logistic'}"
